Band_1	Band_2	Band_3	Band_4	Band_5	Band_6	Band_7
305	427	256	3556	1640	647	2487
377	676	474	4321	2043	833	2637
398	609	435	4123	1943	780	2587
461	688	602	3165	2436	1173	2735
377	609	474	4378	2094	780	2487
285	473	296	3470	1463	568	2436
648	861	1006	1826	1385	989	2735
262	428	257	3470	1590	568	2386
516	837	695	4415	2238	1016	2637
290	431	259	3211	1488	541	2436
651	895	1040	2352	3124	2417	3075
285	428	217	3385	1364	463	2436
285	382	238	3441	1338	437	2436
262	450	277	3413	1438	515	2436
1288	1753	2137	3495	3599	2812	3266
1521	1992	2461	3438	3749	2995	3407
305	472	277	3612	1691	647	2436
398	653	435	4179	2043	859	2587
426	680	848	2806	2993	1544	3075
446	635	848	2778	2944	1623	3075
290	408	259	3124	1287	515	2436
597	1032	1003	4734	2342	1017	2979
693	895	1137	2092	3325	2893	3171
868	1185	1602	2726	3801	2997	3123
996	1295	1775	2812	3777	3024	3171
284	360	217	2236	985	384	2436
285	450	277	3470	1413	541	2537
306	382	257	2554	1136	463	2436
289	407	239	2925	1388	515	2436
669	884	1006	1969	1460	989	2735
1414	1883	2346	3524	3848	3127	3313
306	450	277	3270	1463	568	2537
311	453	279	3125	1438	568	2436
262	428	238	3242	1489	488	2487
306	473	317	3470	1590	674	2537
317	479	302	3661	1638	647	2487
262	428	277	3356	1413	541	2436
469	702	848	2806	2869	1544	3027
932	1274	1679	2870	3676	2814	3075
420	710	564	3645	2310	1094	2686
326	472	296	3669	1716	674	2487
241	450	257	3413	1590	674	2436
306	473	336	3013	1237	463	2537
618	1032	1061	4734	2417	1096	2979
328	494	336	3556	1766	647	2537
241	405	257	3327	1438	568	2436
285	473	296	3669	1691	621	2386
348	516	296	3839	1640	621	2436
262	405	257	3213	1514	594	2436
530	723	790	1483	1236	805	2785
358	478	340	3890	1689	647	2487
996	1426	1947	2898	3676	2919	3075
336	478	340	3009	1462	621	2436
566	741	826	1831	782	357	2487
491	680	887	2777	2843	1544	3075
336	522	340	3464	1538	621	2436
868	1207	1620	2755	3551	2814	3027
328	473	296	3327	1665	594	2487
358	456	321	3292	1639	726	2487
365	483	383	2890	1839	779	2637
398	676	435	4378	2069	806	2637
306	494	296	3213	1413	488	2587
285	405	257	3270	1514	594	2436
372	628	433	3783	2119	859	2587
285	405	257	2955	1338	437	2436
328	517	336	3013	1161	410	2587
494	814	694	4360	2214	1042	2686
397	675	435	4435	2044	780	2637
354	653	416	4151	1943	753	2537
